dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
cellline_ccle_broad_NSCLC,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,115,NA,NA,NA,Open Access
cellline_ccle_broad_OV,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,47,NA,NA,NA,Open Access
cellline_ccle_broad_Pancreatic_Cancer,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,44,NA,NA,NA,Open Access
cellline_ccle_broad_Prostate_Cancer,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,7,NA,NA,NA,Open Access
cellline_ccle_broad_RCC,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,RCC,Renal Cell Carcinoma,21,NA,NA,NA,Open Access
cellline_ccle_broad_SARC,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,17,NA,NA,NA,Open Access
cellline_ccle_broad_THCA,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,11,NA,NA,NA,Open Access
cellline_ccle_broad_UCEC,"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",https://www.cbioportal.org/study/summary?id=cellline_ccle_broad,cBioportal,Novartis/Broad,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,UCEC,Uterine Corpus Endometrial Carcinoma,28,NA,NA,NA,Open Access
cellline_nci60_Blood_Cancer,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,Blood Cancer,Blood Cancer,6,NA,NA,NA,Open Access
cellline_nci60_BRCA,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,5,NA,NA,NA,Open Access
cellline_nci60_CRC,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,7,NA,NA,NA,Open Access
cellline_nci60_MEL,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,10,NA,NA,NA,Open Access
cellline_nci60_NSCLC,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,9,NA,NA,NA,Open Access
cellline_nci60_Other,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,Other,Other,7,NA,NA,NA,Open Access
cellline_nci60_OV,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,7,NA,NA,NA,Open Access
cellline_nci60_RCC,"NCI-60 Cell Lines (NCI, Cancer Res 2012)",https://www.cbioportal.org/study/summary?id=cellline_nci60,cBioportal,NCI,bulkDNA,sample,WES,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,RCC,Renal Cell Carcinoma,7,NA,NA,NA,Open Access
csf_msk_2024_Brain_Cancer,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Brain Cancer,Brain Cancer,86,NA,NA,NA,Open Access
csf_msk_2024_BRCA,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,107,NA,NA,NA,Open Access
csf_msk_2024_EGC,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,18,NA,NA,NA,Open Access
csf_msk_2024_GBM,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,88,NA,NA,NA,Open Access
csf_msk_2024_GCT,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,8,NA,NA,NA,Open Access
csf_msk_2024_Lung_Cancer,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Lung Cancer,166,NA,NA,NA,Open Access
csf_msk_2024_MEL,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,22,NA,NA,NA,Open Access
csf_msk_2024_Miscellaneous_Neuroepithelial_Tumor,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Miscellaneous Neuroepithelial Tumor,Miscellaneous Neuroepithelial Tumor,9,NA,NA,NA,Open Access
csf_msk_2024_mixed,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Mixed,Mixed,12,NA,NA,NA,Open Access
csf_msk_2024_NSCLC,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,5,NA,NA,NA,Open Access
csf_msk_2024_OV,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,8,NA,NA,NA,Open Access
csf_msk_2024_Prostate_Cancer,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,5,NA,NA,NA,Open Access
csf_msk_2024_SARC,"Cerebrospinal Fluid Circulating Tumor DNA (MSK, Acta Neuropathol Commun 2024)",https://www.cbioportal.org/study/summary?id=csf_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,7,NA,NA,NA,Open Access
heme_msk_impact_2022_ALL,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,ALL,B-Lymphoblastic Leukemia/Lymphoma,87,NA,NA,NA,Open Access
heme_msk_impact_2022_AML,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,AML,Acute Myeloid Leukemia,342,NA,NA,NA,Open Access
heme_msk_impact_2022_Blood_Cancer,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,Blood Cancer,Blood Cancer,597,NA,NA,NA,Open Access
heme_msk_impact_2022_DLBCL,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,DLBCL,Mature B-Cell Neoplasms,1022,NA,NA,NA,Open Access
heme_msk_impact_2022_Lymphoma,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,Lymphoma,Lymphoma,44,NA,NA,NA,Open Access
heme_msk_impact_2022_MTNN,"MSK-IMPACT Heme Tumors (MSK, 2022)",https://www.cbioportal.org/study/summary?id=heme_msk_impact_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,MTNN,Mature T And NK Neoplasms,201,NA,NA,NA,Open Access
makeanimpact_ccr_2023_GCT,"MSK Make-An-IMPACT (MSK, Clin Cancer Res 2023)",https://www.cbioportal.org/study/summary?id=makeanimpact_ccr_2023,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC3,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,82,NA,NA,NA,Open Access
mixed_cfdna_msk_2020_BLCA,"Mixed cfDNA (MSK, Genome Med 2021)",https://www.cbioportal.org/study/summary?id=mixed_cfdna_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Urothelial Carcinoma,81,NA,NA,NA,Open Access
mixed_cfdna_msk_2020_BRCA,"Mixed cfDNA (MSK, Genome Med 2021)",https://www.cbioportal.org/study/summary?id=mixed_cfdna_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,26,NA,NA,NA,Open Access
mixed_cfdna_msk_2020_GCT,"Mixed cfDNA (MSK, Genome Med 2021)",https://www.cbioportal.org/study/summary?id=mixed_cfdna_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,22,NA,NA,NA,Open Access
mixed_cfdna_msk_2020_NSCLC,"Mixed cfDNA (MSK, Genome Med 2021)",https://www.cbioportal.org/study/summary?id=mixed_cfdna_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,13,NA,NA,NA,Open Access
mixed_cfdna_msk_2020_Prostate_Cancer,"Mixed cfDNA (MSK, Genome Med 2021)",https://www.cbioportal.org/study/summary?id=mixed_cfdna_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,80,NA,NA,NA,Open Access
mixed_impact_subset_2022_GBM,Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022),https://www.cbioportal.org/study/summary?id=mixed_impact_subset_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,5,NA,NA,NA,Open Access
mixed_impact_subset_2022_Lung_Cancer,Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022),https://www.cbioportal.org/study/summary?id=mixed_impact_subset_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Lung Cancer,5,NA,NA,NA,Open Access
mixed_impact_subset_2022_mixed,Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022),https://www.cbioportal.org/study/summary?id=mixed_impact_subset_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Mixed,Mixed,17,NA,NA,NA,Open Access
mixed_impact_subset_2022_NSCLC,Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022),https://www.cbioportal.org/study/summary?id=mixed_impact_subset_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,36,NA,NA,NA,Open Access
mixed_impact_subset_2022_RCC,Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022),https://www.cbioportal.org/study/summary?id=mixed_impact_subset_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RCC,Renal Cell Carcinoma,5,NA,NA,NA,Open Access
mixed_kunga_msk_2022_mixed,"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_kunga_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Mixed,Mixed,15,NA,NA,NA,Open Access
mixed_kunga_msk_2022_NBL,"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_kunga_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NBL,Neuroblastoma,27,NA,NA,NA,Open Access
mixed_kunga_msk_2022_OS,"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_kunga_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,24,NA,NA,NA,Open Access
mixed_kunga_msk_2022_RMS,"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_kunga_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RMS,Rhabdoid Cancer,6,NA,NA,NA,Open Access
mixed_kunga_msk_2022_SARC,"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_kunga_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,12,NA,NA,NA,Open Access
mixed_selpercatinib_2020_LUAD,"Mixed Tumors Selpercatinib RET Trial (MSK, Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_selpercatinib_2020,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,LUAD,Lung Adenocarcinoma,34,NA,NA,NA,Open Access
mixed_selpercatinib_2020_THCA,"Mixed Tumors Selpercatinib RET Trial (MSK, Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=mixed_selpercatinib_2020,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,THCA,Thyroid Carcinoma,25,NA,NA,NA,Open Access
msk_access_2021_BLCA,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Urothelial Carcinoma,113,NA,NA,NA,Open Access
msk_access_2021_BRCA,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,41,NA,NA,NA,Open Access
msk_access_2021_CESC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CESC,Cervical Cancer,5,NA,NA,NA,Open Access
msk_access_2021_CRC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,22,NA,NA,NA,Open Access
msk_access_2021_EGC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,21,NA,NA,NA,Open Access
msk_access_2021_GCT,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,27,NA,NA,NA,Open Access
msk_access_2021_GIST,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GIST,Gastrointestinal Stromal Tumor,14,NA,NA,NA,Open Access
msk_access_2021_HCC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Liver Hepatocellular Carcinoma,75,NA,NA,NA,Open Access
msk_access_2021_Lung_Cancer,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Lung Cancer,16,NA,NA,NA,Open Access
msk_access_2021_MEL,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,27,NA,NA,NA,Open Access
msk_access_2021_mixed,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Mixed,Mixed,15,NA,NA,NA,Open Access
msk_access_2021_NSCLC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,738,NA,NA,NA,Open Access
msk_access_2021_Pancreatic_Cancer,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,81,NA,NA,NA,Open Access
msk_access_2021_Prostate_Cancer,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,147,NA,NA,NA,Open Access
msk_access_2021_RBL,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RBL,Retinoblastoma,12,NA,NA,NA,Open Access
msk_access_2021_SARC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,12,NA,NA,NA,Open Access
msk_access_2021_SBC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SBC,Small Bowel Cancer,8,NA,NA,NA,Open Access
msk_access_2021_UCEC,"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=msk_access_2021,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,UCEC,Uterine Corpus Endometrial Carcinoma,10,NA,NA,NA,Open Access
msk_chord_2024_BRCA,"MSK-CHORD (MSK, Nature 2024)",https://www.cbioportal.org/study/summary?id=msk_chord_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,5368,NA,NA,NA,Open Access
msk_chord_2024_CRC,"MSK-CHORD (MSK, Nature 2024)",https://www.cbioportal.org/study/summary?id=msk_chord_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,5542,NA,NA,NA,Open Access
msk_chord_2024_NSCLC,"MSK-CHORD (MSK, Nature 2024)",https://www.cbioportal.org/study/summary?id=msk_chord_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,7807,NA,NA,NA,Open Access
msk_chord_2024_Pancreatic_Cancer,"MSK-CHORD (MSK, Nature 2024)",https://www.cbioportal.org/study/summary?id=msk_chord_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,3106,NA,NA,NA,Open Access
msk_chord_2024_Prostate_Cancer,"MSK-CHORD (MSK, Nature 2024)",https://www.cbioportal.org/study/summary?id=msk_chord_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,3211,NA,NA,NA,Open Access
msk_ctdna_vte_2024_APAD,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,APAD,Appendiceal Cancer,7,NA,NA,NA,Open Access
